번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,2538페이지중 980페이지까지만함
50608,가남상점가,태양마트,"경기도 여주시 가남읍 태평로 21-1, 태양마트",허규은,318824068,기타음식료및일용잡화 담배,,,
50607,가락타운상가시장,손톱작업실,"부산광역시 사하구 하신번영로 233, 가락타운3단지상가내1F355-108(하단동, 가락타운2·3단지), 수정",이은진,512929213,화장품,,,
50606,가락타운상가시장,예쁘다뷰티샵,"부산광역시 사하구 하신중앙로 265, 355동 227호",최은희,-,화장품,,,
50605,가락타운상가시장,예다움 에스테틱,"부산광역시 사하구 하신중앙로 265, 3층 301호",최영임,-,피부미용,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50604,가락타운상가시장,컴즈솔루션,"부산시사하구하신중앙로265, 355동 230호",양정란,7088840605,판매,,,
50603,가락타운상가시장,반달커피 사하점,"부산광역시 사하구 하신중앙로 265, 상가355동 B층 4호",이신애,-,커피숍,,,
50602,가락타운상가시장,프린세스 커피,"부산광역시 사하구 하신중앙로 265, 355동 127호",정소정,-,커피,,,
50601,가락타운상가시장,얼리모닝케이크,"부산광역시 사하구 하신중앙로 265(하단동, 가락타운2·3단지), 355동 4층 404-2호",임소라,-,제과점업,,,
50600,가락타운상가시장,미쉘린베이커리,"부산광역시 사하구 하신중앙로 265, 가락아파트상가355-122호 (하단동), 미쉘린베이커리",이인수,512080275,제과점,,,
50599,가락타운상가시장,미즈,"부산광역시 사하구 하신중앙로 265, 355동 114호 상가(하단동, 가락타운3단지), 미즈",장명순,512013372,정장,,,
50598,가락타운상가시장,소피아,"부산광역시 사하구 하신번영로 233, 355동 120호(하단동, 가락타운), 소피아",이숙희,512020691,정장,,,
50597,가락타운상가시장,캔들언니,"부산광역시 사하구 하신중앙로 265, 355동 11호",박민아,-,장난감 및 취미용품 도매업,,,
50596,가락타운상가시장,예스미용실,"부산 사하구 하신번영로 239(하단동), 예스미용실",공양희,512021351,일반미용업,,,
50595,가락타운상가시장,네오방수.리모델링,"부산광역시 사하구 하신중앙로 265, 355동 지하층 9호",정명효,-,인테리어공사,,,
50594,가락타운상가시장,인 타임,"부산광역시 사하구 하신중앙로 265, 355동 118호",김희정,-,"의류, 전자상거래(의류)",,,
50593,가락타운상가시장,끌림,"부산광역시 사하구 하신중앙로 265, 1층 104호",박준희,-,"의류, 잡화",,,
50592,가락타운상가시장,허니핑크,"부산광역시 사하구 하신번영로 233, 355동 103호",구지현,512913146,의류(속옷),,,
50591,가락타운상가시장,sara (사라),"부산광역시 사하구 하신중앙로 265, 355동 1층 109호",이영주,-,의류 및 일용잡화,,,
50590,가락타운상가시장,금찌,"부산광역시 사하구 하신번영로 233, 355동 119호",김민지,-,의류,,,
50589,가락타운상가시장,오빠막창 사하점,"부산광역시 사하구 하신중앙로 265, 지하 1층 16호 (하단동, 가락타운2·3단지), 오빠막창 사하점",박문수,512925892,음식점업,,,
50588,가락타운상가시장,인스타일,"부산광역시 사하구 하신중앙로 265, 355동 105호",신은주,-,외의,,,
50587,가락타운상가시장,벽산옷수선,"부산광역시 사하구 하신중앙로 265, 355동 218호",이승호,512011183,옷수선,,,
50586,가락타운상가시장,벽산옷수선,"부산시사하구하신중앙로265, 355동 218호",이승호,512011183,옷수선,,,
50585,가락타운상가시장,핑크||chr(38)||블루,"부산광역시 사하구 하신중앙로 265, 355동 113호(하단동, 가락타운아파트), 핑크||chr(38)||블루",정승미,512084656,아동의류,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50584,가락타운상가시장,홈마트,"부산광역시 사하구 하신중앙로 265(하단동, 가락타운2·3단지 상가), 355동 13016 홈마트",공병열,512066150,"슈퍼마켓,담배",,,
50583,가락타운상가시장,부광상회,"부산광역시 사하구 하신중앙로 265, 355동 116호",전숙임,-,슈퍼,,,
50582,가락타운상가시장,벽산명품세탁소,"부산광역시 사하구 하신번영로 233, 355동 204호 상가 209호(하단동, 가락타운), 벽산명품세탁소",송인덕,512044676,세탁소,,,
50581,가락타운상가시장,친정집반찬,"부산광역시 사하구 하신중앙로 265, B층 8호",우선옥,-,반찬,,,
50580,가락타운상가시장,헤어포인트미용실,"부산광역시 사하구 하신번영로 233 (하단동, 가락타운2·3단지), 355동 129호 헤어포인트미용실",김희경,512026342,미용원,,,
